Rank_x,Player,Nation_x,Position_x,Squad_x,Age_x,Born,Matches Played,Starts,Minutes,Full 90s,Goals (G) ,Assists (A) ,G+A,G-PK,Penalties Scored (PK) ,Penalties Taken,Yellow Cards ,Red Cards ,Fouls Commited ,Fouls Drawn ,Offsides,Crosses,Interceptions,Tackles Won ,Own Goals ,Goals ,Assists,G+A.1,G-PK.1,G+A-PK,Rank_y,Nation_y,Position_y,Squad_y,Age_y,Weekly Wages (GBP),Annual Wages (GBP)
1,Brenden Aaronson,USA,"MF,FW",Leeds United,25-154,2000,30,24,"1,975",21.9,4,3,7,4,0,0,1,0,17,43,5,35,13,22,0,0.18,0.14,0.32,0.18,0.32,324,us USA,"MF,FW",Leeds United,24,45000,2340000
2,Zach Abbott,ENG,DF,Nottingham Forest,19-316,2006,2,1,120,1.3,0,0,0,0,0,0,0,0,2,1,0,3,2,2,0,0.0,0.0,0.0,0.0,0.0,547,eng ENG,DF,Nottingham Forest,19,12500,650000
3,Tammy Abraham,ENG,FW,Aston Villa,28-174,1997,8,1,202,2.2,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0.45,0.0,0.45,0.45,0.45,72,eng ENG,FW,Aston Villa,27,140000,7280000
5,Tyler Adams,USA,MF,Bournemouth,27-039,1999,18,18,"1,411",15.7,2,1,3,2,0,0,7,0,29,12,1,1,25,19,0,0.13,0.06,0.19,0.13,0.19,243,us USA,MF,Bournemouth,26,60000,3120000
6,Tosin Adarabioyo,ENG,DF,Chelsea,28-182,1997,15,7,750,8.3,0,0,0,0,0,0,2,0,5,0,1,0,9,6,0,0.0,0.0,0.0,0.0,0.0,103,eng ENG,DF,Chelsea,27,120000,6240000
7,Simon Adingra,CIV,"MF,FW",Sunderland,24-083,2002,14,9,653,7.3,1,0,1,1,0,0,2,0,18,3,4,27,2,8,0,0.14,0.0,0.14,0.14,0.14,210,ci CIV,"MF,FW",Sunderland,23,70000,3640000
8,Amine Adli,MAR,MF,Bournemouth,25-319,2000,27,10,"1,040",11.6,3,1,4,3,0,0,2,0,26,23,4,39,5,16,0,0.26,0.09,0.35,0.26,0.35,240,ma MAR,MF,Bournemouth,25,60000,3120000
9,Emmanuel Agbadou,CIV,DF,Wolves,28-281,1997,14,12,"1,101",12.2,0,0,0,0,0,0,1,1,10,5,1,13,14,21,0,0.0,0.0,0.0,0.0,0.0,157,ci CIV,DF,Wolves,28,85000,4420000
11,Ola Aina,NGA,DF,Nottingham Forest,29-168,1996,15,15,"1,320",14.7,0,0,0,0,0,0,3,0,13,10,0,33,24,17,0,0.0,0.0,0.0,0.0,0.0,258,ng NGA,DF,Nottingham Forest,28,60000,3120000
12,Rayan Aït-Nouri,ALG,DF,Manchester City,24-292,2001,13,10,779,8.7,0,2,2,0,0,0,2,0,11,8,0,12,13,19,0,0.0,0.23,0.23,0.0,0.23,101,dz ALG,DF,Manchester City,24,120000,6240000
13,Kristoffer Ajer,NOR,DF,Brentford,27-342,1998,24,18,"1,628",18.1,0,1,1,0,0,0,3,0,22,5,0,7,12,21,0,0.0,0.06,0.06,0.0,0.06,374,no NOR,DF,Brentford,27,40000,2080000
14,Nathan Aké,NED,DF,Manchester City,31-035,1995,14,4,495,5.5,0,0,0,0,0,0,1,0,2,6,1,4,4,6,0,0.0,0.0,0.0,0.0,0.0,45,nl NED,DF,Manchester City,30,160000,8320000
15,Carlos Alcaraz,ARG,MF,Everton,23-115,2002,16,6,675,7.5,0,1,1,0,0,0,3,0,8,11,1,5,2,8,0,0.0,0.13,0.13,0.0,0.13,504,ar ARG,MF,Everton,22,20000,1040000
16,Omar Alderete,PAR,DF,Sunderland,29-089,1996,27,26,"2,354",26.2,1,1,2,1,0,0,6,0,26,7,4,9,26,15,0,0.04,0.04,0.08,0.04,0.08,228,py PAR,DF,Sunderland,28,65000,3380000
17,Alisson,BRA,GK,Liverpool,33-174,1992,25,25,"2,250",25.0,0,0,0,0,0,0,1,0,1,7,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,58,br BRA,GK,Liverpool,32,150000,7800000
18,Max Alleyne,ENG,DF,Manchester City,20-247,2005,2,2,135,1.5,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0.0,0.0,0.0,0.0,0.0,637,,CB,Manchester City,20,2500,130000
20,Ethan Ampadu,WAL,MF,Leeds United,25-192,2000,28,28,"2,489",27.7,1,1,2,1,0,0,7,0,36,28,0,24,39,38,0,0.04,0.04,0.07,0.04,0.07,356,wls WAL,MF,Leeds United,24,40000,2080000
21,Joachim Andersen,DEN,DF,Fulham,29-298,1996,28,28,"2,471",27.5,0,1,1,0,0,0,7,0,27,10,0,14,26,19,0,0.0,0.04,0.04,0.0,0.04,149,dk DEN,DF,Fulham,29,90000,4680000
22,Elliot Anderson,ENG,MF,Nottingham Forest,23-139,2002,31,31,"2,772",30.8,2,2,4,1,1,1,6,0,46,68,2,157,35,54,0,0.06,0.06,0.13,0.03,0.1,381,eng ENG,MF,Nottingham Forest,22,40000,2080000
23,André,BRA,MF,Wolves,24-252,2001,28,23,"2,132",23.7,1,0,1,1,0,0,9,0,33,37,0,38,21,30,0,0.04,0.0,0.04,0.04,0.04,246,br BRA,MF,Wolves,24,60000,3120000
