Rank_x,Player,Nation_x,Position_x,Squad_x,Age_x,Born,Matches Played ,Starts,Minutes,Full 90s,Goals Against ,Goals Against per 90 ,Shots on Target Against ,Saves,Save Percentage ,Wins,Draws,Losses,Clean Sheets ,Clean Sheet Percentage,Penalties Attempted ,Penalties Scored,Penalties Saved,Penalties Off Target ,Penalty Save Percentage ,Rank_y,Nation_y,Position_y,Squad_y,Age_y,Weekly Wages,Annual Wages
1,Alisson,br BRA,GK,Liverpool,33-185,1992,25,25,"2,250",25.0,30,1.2,84,56,66.7,13,7,5,8,32.0,2,2,0,0,0.0,58,br BRA,GK,Liverpool,32,"£ 150,000 (€ 173,050, $201,535)","£ 7,800,000 (€ 8,998,616, $10,479,844)"
2,Alphonse Areola,fr FRA,GK,West Ham United,33-037,1993,20,20,"1,800",20.0,37,1.85,108,76,70.4,4,5,11,0,0.0,6,5,0,1,0.0,95,fr FRA,GK,West Ham United,32,"£ 120,000 (€ 138,440, $161,228)","£ 6,240,000 (€ 7,198,893, $8,383,875)"
3,Altay Bayındır,tr TUR,GK,Manchester Utd,27-356,1998,6,6,540,6.0,11,1.83,24,13,54.2,2,1,3,0,0.0,0,0,0,0,,391,tr TUR,GK,Manchester Utd,27,"£ 35,000 (€ 40,378, $47,025)","£ 1,820,000 (€ 2,099,677, $2,445,297)"
4,Walter Benítez,ar ARG,GK,Crystal Palace,33-076,1993,1,1,90,1.0,0,0.0,3,3,100.0,0,1,0,1,100.0,1,0,0,1,,394,ar ARG,GK,Crystal Palace,32,"£ 35,000 (€ 40,378, $47,025)","£ 1,820,000 (€ 2,099,677, $2,445,297)"
5,Marco Bizot,nl NED,GK,Aston Villa,35-026,1991,5,4,405,4.5,8,1.78,20,13,65.0,2,1,1,2,50.0,1,1,0,0,0.0,330,nl NED,GK,Aston Villa,34,"£ 45,000 (€ 51,915, $60,461)","£ 2,340,000 (€ 2,699,585, $3,143,953)"
6,Karl Darlow,wls WAL,GK,Leeds United,35-179,1990,15,15,"1,350",15.0,19,1.27,53,36,67.9,3,6,6,3,20.0,2,2,0,0,0.0,428,wls WAL,GK,Leeds United,34,"£ 30,000 (€ 34,610, $40,307)","£ 1,560,000 (€ 1,799,723, $2,095,969)"
7,Gianluigi Donnarumma,it ITA,GK,Manchester City,27-039,1999,27,27,"2,430",27.0,24,0.89,86,61,72.1,17,7,3,11,40.7,1,0,1,0,100.0,14,it ITA,GK,Manchester City,26,"£ 250,000 (€ 288,417, $335,892)","£ 13,000,000 (€ 14,997,694, $17,466,406)"
8,Martin Dúbravka,sk SVK,GK,Burnley,37-080,1989,31,31,"2,790",31.0,61,1.97,166,111,66.9,4,8,19,4,12.9,7,6,0,1,0.0,369,sk SVK,GK,Burnley,36,"£ 40,000 (€ 46,147, $53,743)","£ 2,080,000 (€ 2,399,631, $2,794,625)"
9,Melker Ellborg,se SWE,GK,Sunderland,22-318,2003,3,3,270,3.0,2,0.67,12,10,83.3,2,0,1,1,33.3,0,0,0,0,,551,,GK,Sunderland,22,"£ 10,000 (€ 11,585, $13,683)","£ 520,000 (€ 602,405, $711,513)"
10,Angus Gunn,sct SCO,GK,Nottingham Forest,30-073,1996,1,0,45,0.5,0,0.0,0,0,,0,0,0,0,,0,0,0,0,,443,sct SCO,GK,Nottingham Forest,29,"£ 30,000 (€ 34,610, $40,307)","£ 1,560,000 (€ 1,799,723, $2,095,969)"
