Rank,Player,Nation,Position,Squad,Age,Weekly Wages,Annual Wages
14,Gianluigi Donnarumma,it ITA,GK,Manchester City,26,"£ 250,000 (€ 288,417, $335,892)","£ 13,000,000 (€ 14,997,694, $17,466,406)"
58,Alisson,br BRA,GK,Liverpool,32,"£ 150,000 (€ 173,050, $201,535)","£ 7,800,000 (€ 8,998,616, $10,479,844)"
62,Emiliano Martínez,ar ARG,GK,Aston Villa,32,"£ 150,000 (€ 173,050, $201,535)","£ 7,800,000 (€ 8,998,616, $10,479,844)"
71,Jordan Pickford,eng ENG,GK,Everton,31,"£ 150,000 (€ 173,050, $201,535)","£ 7,800,000 (€ 8,998,616, $10,479,844)"
86,Bernd Leno,de GER,GK,Fulham,33,"£ 130,000 (€ 149,977, $174,664)","£ 6,760,000 (€ 7,798,801, $9,082,531)"
95,Alphonse Areola,fr FRA,GK,West Ham United,32,"£ 120,000 (€ 138,440, $161,228)","£ 6,240,000 (€ 7,198,893, $8,383,875)"
98,Aaron Ramsdale,eng ENG,GK,Newcastle United,27,"£ 120,000 (€ 138,440, $161,228)","£ 6,240,000 (€ 7,198,893, $8,383,875)"
119,David Raya,es ESP,GK,Arsenal,29,"£ 100,000 (€ 115,367, $134,357)","£ 5,200,000 (€ 5,999,078, $6,986,562)"
121,Dean Henderson,eng ENG,GK,Crystal Palace,28,"£ 100,000 (€ 115,367, $134,357)","£ 5,200,000 (€ 5,999,078, $6,986,562)"
144,Stefan Ortega,de GER,GK,Manchester City,32,"£ 90,000 (€ 103,830, $120,921)","£ 4,680,000 (€ 5,399,170, $6,287,906)"
155,Giorgi Mamardashvili,ge GEO,GK,Liverpool,24,"£ 85,000 (€ 98,062, $114,203)","£ 4,420,000 (€ 5,099,216, $5,938,578)"
178,Guglielmo Vicario,it ITA,GK,Tottenham Hotspur,28,"£ 75,000 (€ 86,525, $100,768)","£ 3,900,000 (€ 4,499,308, $5,239,922)"
234,Kepa Arrizabalaga,es ESP,GK,Arsenal,30,"£ 60,000 (€ 69,220, $80,614)","£ 3,120,000 (€ 3,599,447, $4,191,937)"
235,Senne Lammens,be BEL,GK,Manchester Utd,23,"£ 60,000 (€ 69,220, $80,614)","£ 3,120,000 (€ 3,599,447, $4,191,937)"
241,Đorđe Petrović,rs SRB,GK,Bournemouth,25,"£ 60,000 (€ 69,220, $80,614)","£ 3,120,000 (€ 3,599,447, $4,191,937)"
247,José Sá,pt POR,GK,Wolves,32,"£ 60,000 (€ 69,220, $80,614)","£ 3,120,000 (€ 3,599,447, $4,191,937)"
249,Nick Pope,eng ENG,GK,Newcastle United,33,"£ 60,000 (€ 69,220, $80,614)","£ 3,120,000 (€ 3,599,447, $4,191,937)"
251,Robert Sánchez,es ESP,GK,Chelsea,27,"£ 60,000 (€ 69,220, $80,614)","£ 3,120,000 (€ 3,599,447, $4,191,937)"
