Squad,Players ,Average Age,Average Possession ,Matches Played ,Starts,Minutes,Full 90s,Goals (G) ,Assists (A) ,G+A,Non-Penalty Goals ,Penalties Scored (PK) ,Penalties Attempted,Yellow Cards ,Red Cards ,Fouls Commited ,Fouls Drawn ,Offsides,Crosses,Interceptions ,Tackles Won ,Own Goals ,Goals,Assists,G+A,G-PK,G+A-PK
Arsenal,24,26.7,57,31,341,"2,790",31,57,43,100,54,3,3,40,0,316,327,45,580,216,279,1,1.84,1.39,3.23,1.74,3.13
Aston Villa,30,28.5,53.7,31,341,"2,790",31,40,29,69,40,0,0,47,1,310,387,34,498,180,280,1,1.29,0.94,2.23,1.29,2.23
Bournemouth,26,25.7,50.4,31,341,"2,790",31,46,27,73,42,4,5,71,1,367,311,59,623,284,314,2,1.48,0.87,2.35,1.35,2.23
Brentford,24,26,47.1,31,341,"2,790",31,45,29,74,39,6,8,58,1,329,280,51,538,270,273,3,1.45,0.94,2.39,1.26,2.19
Brighton,28,26.7,52.6,31,341,"2,790",31,40,24,64,37,3,5,79,0,374,307,58,527,257,340,4,1.29,0.77,2.06,1.19,1.97
Burnley,26,27.8,41.5,31,341,"2,790",31,30,23,53,28,2,2,53,3,309,265,48,410,277,294,4,0.97,0.74,1.71,0.9,1.65
Chelsea,26,24.8,59.2,31,341,"2,790",31,52,35,87,45,7,7,77,7,340,346,41,570,300,289,0,1.68,1.13,2.81,1.45,2.58
Crystal Palace,29,26.9,46.1,30,330,"2,700",30,32,20,52,26,6,6,64,2,321,275,59,477,246,334,1,1.07,0.67,1.73,0.87,1.53
Everton,22,28.1,43.6,31,341,"2,790",31,35,28,63,33,2,2,55,4,323,348,40,550,261,328,1,1.13,0.9,2.03,1.06,1.97
Fulham,24,28.8,51.8,31,341,"2,790",31,39,25,64,35,4,4,65,0,338,279,53,553,251,298,3,1.26,0.81,2.06,1.13,1.94
Leeds United,24,27.3,45.5,31,341,"2,790",31,37,19,56,33,4,6,51,1,322,345,52,561,277,323,1,1.19,0.61,1.81,1.06,1.68
Liverpool,23,27.3,60.2,31,341,"2,790",31,48,32,80,47,1,2,49,1,306,317,62,642,199,261,0,1.55,1.03,2.58,1.52,2.55
Manchester City,27,26.1,60.1,30,330,"2,700",30,57,46,103,54,3,4,56,0,298,329,40,480,239,273,0,1.9,1.53,3.43,1.8,3.33
Manchester Utd,27,26.7,53.3,31,341,"2,790",31,53,38,91,49,4,6,48,2,317,322,47,531,237,323,2,1.71,1.23,2.94,1.58,2.81
Newcastle United,25,27.5,52.5,31,341,"2,790",31,44,25,69,38,6,6,54,3,317,349,43,757,203,284,2,1.42,0.81,2.23,1.23,2.03
Nottingham Forest,31,26.5,47.5,31,341,"2,790",31,31,21,52,29,2,2,48,1,326,349,49,714,239,314,2,1,0.68,1.68,0.94,1.61
Sunderland,29,25.8,43.6,31,341,"2,790",31,29,17,46,25,4,5,65,2,322,321,48,486,236,289,1,0.94,0.55,1.48,0.81,1.35
Tottenham Hotspur,29,26,50,31,341,"2,790",31,39,31,70,39,0,0,77,4,362,297,48,627,237,363,0,1.26,1,2.26,1.26,2.26
West Ham United,32,27,42.3,31,341,"2,790",31,34,22,56,31,3,3,54,3,341,317,59,501,292,326,2,1.1,0.71,1.81,1,1.71
Wolves,29,26.6,43.2,31,341,"2,790",31,23,16,39,21,2,4,69,3,409,332,42,569,248,341,4,0.74,0.52,1.26,0.68,1.19
